id,title,authors,year,venue,v1_decision,v1_reason,v2_decision,v2_reason
35TEKLH5,LLM Based Input Space Partitioning Testing for Library APIs,"Li, Jiageng; Dong, Zhen; Wang, Chong; You, Haozhen; Zhang, Cen; Liu, Yang; Peng, Xin",2025.0,2025 IEEE/ACM 47th International Conference on Software Engineering (ICSE),EXCLUDE,"EC-O - vá» library API input space partitioning, khÃ´ng pháº£i unit test gen tá»« function",,
TFICJWXJ,A Cross-Language Dynamic Vulnerability Detection Methodology Driven by Multi-Model Collaboration,"Ma, Huimin; Xie, Peiyuan; Xue, Pengfei; Li, Yuwei; Li, Yang",2025.0,2025 IEEE 12th Joint International Information Technology and Artificial Intelligence Conference (ITAIC),EXCLUDE,"EC-O - vá» vulnerability detection, khÃ´ng pháº£i unit test generation",,
PB3HKIKW,LSPAI: An IDE Plugin for LLM-Powered Multi-Language Unit Test Generation with Language Server Protocol,"Go, Gwihwan; Zhou, Chijin; Zhang, Quan; Jiang, Yu; Wei, Zhao",2025.0,Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering,INCLUDE,"IC-P, IC-I, IC-R",EXCLUDE,"IC-Lang - multi-language plugin, khÃ´ng táº­p trung Java/Python"
9YUJ7MHW,LLMs and Prompting for Unit Test Generation: A Large-Scale Evaluation,"Ouedraogo, Wendkuuni C.; Kabore, Kader; Tian, Haoye; Song, Yewei; Koyuncu, Anil; Klein, Jacques; Lo, David; Bissyande, Tegawende F.",2024.0,Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering,INCLUDE,"IC-P, IC-I, IC-R",INCLUDE,"IC-Lang(Java), IC-M(branch coverage), IC-T(LLM trá»±c tiáº¿p)"
JT94AHEE,"Unify and Triumph: Polyglot, Diverse, and Self-Consistent Generation of Unit Tests with LLMs","Khelladi, Djamel Eddine; Reux, Charly; Acher, Mathieu",2025.0,,EXCLUDE,"IC-V - arXiv preprint (10.48550/ARXIV), khÃ´ng pháº£i conference/journal",,
P6JT4JBG,"<span style=""font-variant:small-caps;"">CITYWALK</span> : Enhancing LLM-Based C++ Unit Test Generation via Project-Dependency Awareness and Language-Specific Knowledge","Zhang, Yuwei; Lu, Qingyuan; Liu, Kai; Dou, Wensheng; Zhu, Jiaxin; Qian, Li; Zhang, Chunxi; Lin, Zheng; Wei, Jun",2026.0,ACM Transactions on Software Engineering and Methodology,EXCLUDE,"EC-O - vá» C++, ngoÃ i scope Java/Python cá»§a PICO",,
HAD449NT,From Scenario to Code: Structured Prompting for LLM-Based Unit Test Generation,"Diop, Aminata; Toure, Fadel; Badri, Mourad",2025.0,Proceedings of the 2025 7th World Symposium on Software Engineering,INCLUDE,"IC-P, IC-I, IC-R",INCLUDE,"IC-Lang(Java), IC-M(branch coverage), IC-T(LLM trá»±c tiáº¿p)"
YMN7E9Z7,Evaluating the Effectiveness of Large Language Models in Automated Unit Test Generation,"Godage, Tharindu; Nimishan, Sivaraj; Vasanthapriyan, Shanmuganathan; Palanisamy, Vigneshwaran; Joseph, Charles; Thuseethan, Selvarajah",2025.0,2025 5th International Conference on Advanced Research in Computing (ICARC),INCLUDE,"IC-P, IC-I, IC-R",EXCLUDE,"IC-Lang - thá»±c nghiá»m Äa ngÃ´n ngá»¯, khÃ´ng táº­p trung Java/Python"
NQKSE27H,Enhancing Automated Unit Test Generation with Large Language Models: A Systematic Literature Review,"Zhang, Junwei; Hu, Xing; Gao, Cuiyun; Xia, Xin; Li, Shanping",2026.0,ACM Transactions on Software Engineering and Methodology,EXCLUDE,"EC-O - lÃ  Systematic Literature Review, khÃ´ng pháº£i primary study",,
62FZJF4R,LLM-enhanced evolutionary test generation for untyped languages,"Yang, Ruofan; Xu, Xianghua; Wang, Ran",2025.0,Automated Software Engineering,EXCLUDE,"IC-R - abstract trá»ng, khÃ´ng xÃ¡c nháº­n ÄÆ°á»£c cÃ³ sá» liá»u káº¿t quáº£",,
BDCRPES2,Evaluating LLM-Based Test Generation Under Software Evolution,"Haroon, Sabaat; Khan, Mohammad Taha; Gulzar, Muhammad Ali",2026.0,,EXCLUDE,"IC-V - arXiv preprint (10.48550/arXiv), khÃ´ng pháº£i conference/journal",,
ZL8DU66L,Mutation-guided unit test generation with a large language model,"Wang, Guancheng; Xu, Qinghua; Briand, Lionel; Liu, Kui",2026.0,IEEE Transactions on Software Engineering,EXCLUDE,"IC-R - abstract trá»ng, khÃ´ng xÃ¡c nháº­n ÄÆ°á»£c cÃ³ sá» liá»u káº¿t quáº£",,
WGS9VISW,MultiFileTest: A Multi-File-Level LLM Unit Test Generation Benchmark and Impact of Error Fixing Mechanisms,"Wang, Yibo; Xia, Congying; Zhao, Wenting; Du, Jiangshu; Miao, Chunyu; Deng, Zhongfen; Yu, Philip S.; Xing, Chen",2026.0,,EXCLUDE,"IC-V - arXiv preprint (10.48550/arXiv), khÃ´ng pháº£i conference/journal",,
5TCA3W6Y,Benchmarking LLMs for Unit Test Generation from Real-World Functions,"Huang, Dong; Zhang, Jie M.; Harman, Mark; Zhang, Qianru; Du, Mingzhe; Ng, See-Kiong",2026.0,ACM Transactions on Software Engineering and Methodology,INCLUDE,"IC-P, IC-I, IC-R",INCLUDE,"IC-Lang(Java), IC-M(branch coverage), IC-T(LLM trá»±c tiáº¿p)"
L2T6LNS8,A quantized LLM driven framework for automated software testing,"Ahmed, Rashed",2026.0,,EXCLUDE,"IC-V - thesis repository (lutpub.lut.fi), khÃ´ng pháº£i conference/journal",,
4Y948GD9,An LLM-based framework for automated Python test generation and mutation testing evaluation,"Nafis, Sadnan; Walid, Abdullah Al; Anuja, Amatus Subhan",2025.0,,EXCLUDE,"IC-V - thesis repository (dspace.bracu.ac.bd), khÃ´ng pháº£i conference/journal",,
PSJXAIFK,STRUT: Structured Seed Case Guided Unit Test Generation for C Programs using LLMs,"Liu, Jinwei; Li, Chao; Chen, Rui; Li, Shaofeng; Gu, Bin; Yang, Mengfei",2025.0,Proceedings of the ACM on Software Engineering,EXCLUDE,"EC-O - vá» C programs, ngoÃ i scope Java/Python",,
WJSDVKIM,LLM Driven Unit Test Case Generation Using Agentic AI,"S., Baskaran; Mishara, Pradeepta; Agarwal, Rashmi",2025.0,Journal of Ubiquitous Computing and Communication Technologies,INCLUDE,"IC-P, IC-I, IC-R",EXCLUDE,"IC-T - dÃ¹ng Agentic AI framework phá»©c táº¡p, LLM khÃ´ng sinh test trá»±c tiáº¿p"
8QB8PML4,LLMTestCraft: An Automated Unit Test Case Generator using Large Language Models,"Nuh, Jamal Abdullahi; Koh, Tieng Wei; Lawal, Babangida; Jaharadak, Adam Amril; Ali, Mohamed Abdullahi",2025.0,2025 IEEE International Conference on Data and Software Engineering (ICoDSE),INCLUDE,"IC-P, IC-I, IC-R",EXCLUDE,EC-A - không truy cập được full-text PDF
D7W6CVPJ,Hallucination to Consensus: Multi-Agent LLMs for End-to-End JUnit Test Generation,"Xu, Qinghua; Wang, Guancheng; Briand, Lionel; Liu, Kui",2026.0,ACM Transactions on Software Engineering and Methodology,INCLUDE,"IC-P, IC-I, IC-R",EXCLUDE,"IC-T - multi-agent consensus framework, LLM khÃ´ng sinh test trá»±c tiáº¿p"
XYENPIWM,Fixturize: Bridging the Fixture Gap in Test Generation,"Wang, Chengyi; Xue, Pengyu; Yang, Zhen; Luo, Xiapu; Zhang, Yuxuan; Lyu, Xiran; Pei, Yifei; Jia, Zonghan; Sun, Yichen; Wu, Linhao; Zheng, Kunwu",2026.0,,EXCLUDE,"IC-V - arXiv preprint (10.48550/ARXIV), khÃ´ng pháº£i conference/journal",,
XN675T7J,Java unit testing with ai: An ai-driven prototype for unit test generation,"Kahur, Katrin; Su, Jennifer",2023.0,,EXCLUDE,"IC-V - thesis repository (diva-portal.org), khÃ´ng pháº£i conference/journal",,
URKZTHB9,LLMs for Automated Unit Test Generation and Assessment in Java: The AgoneTest Framework,"Lops, Andrea; Narducci, Fedelucio; Ragone, Azzurra; Trizio, Michelantonio; Bartolini, Claudio",2025.0,,EXCLUDE,"IC-V - arXiv preprint (10.48550/arXiv), khÃ´ng pháº£i conference/journal",,
4TKF7JT3,A Comparative Evaluation of Search-Based and Mutation-Driven LLM Test Generation: Pynguin and MuTAP,"Tabassum, Radia",2026.0,,EXCLUDE,"IC-V - thesis repository (doria.fi), khÃ´ng pháº£i conference/journal",,
YC42LWLB,Exploring Test Suite Coverage of Large Language ModelâEnhanced Unit Test Generation,"Dragoi, Andrei",2024.0,,EXCLUDE,"IC-V - thesis repository (tudelft.nl), khÃ´ng pháº£i conference/journal",,
ILKEEMVD,Automated Unit Test Generation for the Google Test Framework Using Large Language Models: An Industrial Case Study,"Lundberg, Albert",2024.0,,EXCLUDE,"IC-V - thesis repository (diva-portal.org), khÃ´ng pháº£i conference/journal",,
MV2KYNET,Evaluating the Effectiveness of LLM-Generated Unit Tests in the Context of Industrial DBMS,"Bekmyradov, Vekilmuhammet",2026.0,,EXCLUDE,"IC-V - thesis repository (th-koeln.de), khÃ´ng pháº£i conference/journal",,
UNV5DL3N,The Status of JavaScript Test Generation: A Benchmark-Based Evaluation,"SunnevudÃ³ttir, Saga Rut",,,EXCLUDE,"EC-O - vá» JavaScript, ngoÃ i scope Java/Python; IC-Y - nÄm trá»ng",,
GXA4XPGG,Multi-language unit test generation using llms,"Pan, Rangeet; Kim, Myeongsoo; Krishna, Rahul; Pavuluri, Raju; Sinha, Saurabh",2024.0,arXiv preprint arXiv:2409.03093,EXCLUDE,"IC-V - arXiv preprint, khÃ´ng pháº£i conference/journal",,
7SGD5CEI,CodeAssert: Multi-Provider LLM Evaluation for Automated Unit Test Generation,"GONÃALVES, JORGE ANDRÃ DE OLIVEIRA",2025.0,,EXCLUDE,"IC-V - thesis repository (recipp.ipp.pt), khÃ´ng pháº£i conference/journal",,
85WK68WK,Code-Aware Prompting: A Study of Coverage-Guided Test Generation in Regression Setting using LLM,"Ryan, Gabriel; Jain, Siddhartha; Shang, Mingyue; Wang, Shiqi; Ma, Xiaofei; Ramanathan, Murali Krishna; Ray, Baishakhi",2024.0,Proceedings of the ACM on Software Engineering,INCLUDE,"IC-P, IC-I, IC-R",INCLUDE,"IC-Lang(Java), IC-M(branch coverage), IC-T(LLM trá»±c tiáº¿p)"
PARBAQEA,Exploring ChatGPT Efficiency in Automatic Test Generation for Python: A Comparative Analysis,"Guerino, Lucca Renato; Vincenzi, Auri Marcelo Rizzo",2025.0,Anais do XXIV SimpÃ³sio Brasileiro de Qualidade de Software (SBQS 2025),INCLUDE,"IC-P, IC-I, IC-R",INCLUDE,"IC-Lang(Python), IC-M(code coverage), IC-T(ChatGPT trá»±c tiáº¿p)"
C6LAX4ZL,An Empirical Study on Automated Test Generation Tools for Java: Effectiveness and Challenges,"Liu, Xiang-Jun; Yu, Ping; Ma, Xiao-Xing",2024.0,Journal of Computer Science and Technology,INCLUDE,"IC-P, IC-I, IC-R",EXCLUDE,"IC-T - so sÃ¡nh tools truyá»n thá»ng, LLM khÃ´ng pháº£i thÃ nh pháº§n chÃ­nh"
TXU86Z69,Consistency Meets Verification: Enhancing Test Generation Quality in Large Language Models Without Ground-Truth Solutions,"Taherkhani, Hamed; DaghighFarsoodeh, Alireza; Chowdhury, Mohammad; Pham, Hung Viet; Hemmati, Hadi",2026.0,,EXCLUDE,"IC-V - arXiv preprint (10.48550/ARXIV), khÃ´ng pháº£i conference/journal",,
GZG9PUX3,Evaluating LLM-Generated Unit Tests with Mutation Testing: ChatGPT vs DeepSeek,"Cabral, Pedro Fernando Marinho; Arruda, JoÃ£o Pedro Souza; Souza, Cleidson Ronald Botelho De; Pinto, Victor Hugo Santiago Costa",2025.0,Anais do XXIV SimpÃ³sio Brasileiro de Qualidade de Software (SBQS 2025),INCLUDE,"IC-P, IC-I, IC-R",INCLUDE,"IC-Lang(Java/Python), IC-M(mutation score), IC-T(ChatGPT/DeepSeek trá»±c tiáº¿p)"
RTEQPC38,The Potential of LLMs in Automating Software Testing: From Generation to Reporting,"Sherifi, Betim; Slhoub, Khaled; Nembhard, Fitzroy",2025.0,,EXCLUDE,"IC-V - arXiv preprint (10.48550/ARXIV), khÃ´ng pháº£i conference/journal",,
PRHNBVTM,Multiple-Searching Genetic Algorithm for Whole Test Suites,"Khamprapai, Wanida; Tsai, Cheng-Fa; Wang, Paohsi; Tsai, Chi-En",2021.0,Electronics,EXCLUDE,"IC-I - khÃ´ng dÃ¹ng LLM/AI-based, lÃ  genetic algorithm SBST thuáº§n tÃºy",,
IKVU7KH5,Muteria: An Extensible and Flexible Multi-Criteria Software Testing Framework,"Chekam, Thierry Titcheu; Papadakis, Mike; Traon, Yves Le",2020.0,Proceedings of the IEEE/ACM 1st International Conference on Automation of Software Test,EXCLUDE,"IC-I - khÃ´ng dÃ¹ng LLM/AI-based, lÃ  testing framework truyá»n thá»ng",,
5PSCV4BZ,TestAgentX: Leveraging Large Language Models and Reinforcement Learning for Scalable and Adaptive Software Testing,"Vijayamahantesh; A, Ashwitha; E, Naresh; Pareek, Piyush Kumar",2026.0,"2026 International Conference on Next-Gen Quantum and Advanced Computing: Algorithms, Security, and Beyond (NQComp)",INCLUDE,"IC-P, IC-I, IC-R",EXCLUDE,"IC-T - dÃ¹ng Reinforcement Learning framework, LLM khÃ´ng sinh test trá»±c tiáº¿p"
GQ364P5L,Statement frequency coverage: A code coverage criterion for assessing test suite effectiveness,"Aghamohammadi, Alireza; Mirian-Hosseinabadi, Seyed-Hassan; Jalali, Sajad",2021.0,Information and Software Technology,EXCLUDE,"IC-I - khÃ´ng dÃ¹ng LLM/AI-based, lÃ  coverage criterion truyá»n thá»ng",,
NKDA4AZL,A Comprehensive Study on Large Language Models for Mutation Testing,"Wang, Bo; Chen, Mingda; Deng, Ming; Lin, Youfang; Harman, Mark; Papadakis, Mike; Zhang, Jie M.",2026.0,ACM Transactions on Software Engineering and Methodology,EXCLUDE,"EC-O - vá» mutation testing (táº¡o mutant), khÃ´ng pháº£i unit test generation",,
8RRQU8V3,Automated Unit Test Generation and Improvement with Large Language Models (LLMs)/submitted by Florian Stifter,"Stifter, Florian",2024.0,,EXCLUDE,"IC-V - lÃ  thesis (submitted by Florian Stifter), khÃ´ng pháº£i conference/journal",,
7JF9HQ95,Enhancing Unit Tests using ChatGPT-3.5,"Creasta, Stefan",2024.0,,EXCLUDE,"IC-V - thesis repository (tudelft.nl), khÃ´ng pháº£i conference/journal",,
4V37HTPX,Towards Automated Software Testing-Applying TextGrad to Test Suite Generation using LLMs,"GÃ¤rtner, Moritz",,,EXCLUDE,IC-Y - nÄm trá»ng khÃ´ng xÃ¡c Äá»nh ÄÆ°á»£c,,
U6PXCLAP,Test vs Mutant: Adversarial LLM Agents for Robust Unit Test Generation,"Chang, Pengyu; Fang, Yixiong; Chen, Silin; Shi, Yuling; Shen, Beijun; Gu, Xiaodong",2026.0,,EXCLUDE,"IC-V - arXiv preprint (10.48550/arXiv), khÃ´ng pháº£i conference/journal",,
827DUSEM,Code Generation in Repository Level through LLMs,"Drouzas, Vasileios Ilias",2024.0,,EXCLUDE,"EC-O - vá» repository-level code generation, khÃ´ng pháº£i unit test generation",,
APM6FZWU,"Large Language Models for Unit Test Generation: Achievements, Challenges, and Opportunities","Chu, Bei; Feng, Yang; Liu, Kui; Guo, Zhaoqiang; Zhang, Yichi; Shi, Hange; Nan, Zifan; Xu, Baowen",2025.0,,EXCLUDE,"IC-V - arXiv preprint (10.48550/arXiv), khÃ´ng pháº£i conference/journal",,
BV6VZTII,Automatic Unit Test Generation for Programming Assignments Using Large Language Models,"Zheng, Kaisheng; Shen, Yuanyang; Tao, Yida",2025.0,2025 IEEE/ACM 37th International Conference on Software Engineering Education and Training (CSEE&T),INCLUDE,"IC-P, IC-I, IC-R",EXCLUDE,EC-A - không truy cập được full-text PDF
