id,title,abstract,authors,year,venue,search_strings
11,HITS: High-coverage LLM-based Unit Test Generation via Method Slicing,Method-slicing approach for LLM test generation. +19.80% branch coverage +20.92% mutation score vs baseline. Java Defects4J. JaCoCo + PIT.,Wang H. et al.,2024,IEEE SANER 2024,String B
12,Exploring the Capability of ChatGPT in Test Generation,Empirical study ChatGPT test generation capability. Coverage and mutation adequacy on Java programs. Comparable to traditional automated tools. IEEE QRS 2023.,Yi G.; Chen Z.; Chen Z.; Wong W.E.; Chau N.,2023,IEEE QRS 2023,String E
13,AgoneTest: Automated Evaluation Framework for LLM-Generated Unit Tests in Java,AgoneTest framework Classes2Test dataset. LLM tests match human-written when compiled. Test smells analysis included. Direct comparison LLM vs human-written Java tests.,Anonymous,2025,ResearchGate 2025,String A
14,CoverUp: Effective High Coverage Test Generation for Python,Coverage-driven LLM test generation for Python. Per-module median line+branch coverage 80% vs CodaMosa 47%. Overall line+branch coverage 89% vs MuTAP 77%. ACM PACMSE 2025.,Pappas D. et al.,2025,ACM PACMSE FSE 2025,String C
15,Establishing Meta-Requirements and Design Principles for LLM-based Unit Test Generation,DSR approach to improve LLM unit test generation. GPT-4 Claude 3.5 Llama 3.1 evaluated. Java+Python. Coverage and mutation score measured. Design principles proposed.,Anonymous,2024,ResearchGate 2024,String A
16,AI-Powered Unit Test Generation via Multi-LLM Chaining,Multi-LLM chaining GPT-4o + Gemini. Java HumanEval dataset. Branch coverage 99.05%; mutation coverage 94.32%. JaCoCo + PIT.,Anonymous,2026,ResearchGate Preprint 2026,String A
17,EvoGPT: Enhancing Test Suite Robustness via LLM-Based Generation and Genetic Optimization,Combines LLM generation with genetic optimization for test suite robustness. Average 10% improvement in both code coverage and mutation score on multiple Java open-source projects.,Anonymous,2025,arXiv/IEEE 2025,String B
18,Impact of Code Context and Prompting Strategies on Automated Unit Test Generation with Modern LLMs,Evaluates prompting strategies zero-shot vs chain-of-thought for unit test generation. Best: 96.3% branch coverage 57% average mutation score using Gemini 2.5 Pro. Java and Python.,Anonymous,2025,arXiv 2025,String E
19,How well LLM-based test generation techniques perform with newer LLM versions?,Evaluates newer LLM versions (GPT-4o-mini) replacing older models in existing frameworks. Branch coverage and mutation score via JaCoCo and PIT on Java. ACM FSE 2025.,Anonymous,2025,ACM FSE 2025,String D
20,An Exploratory Study on Using Large Language Models for Mutation Testing,GPT-4-Turbo best for mutant generation. GPT-4 outperforms GPT-3.5 CodeLlama StarChat. 96.7% bug detection on Defects4J. Java mutation testing study.,Anonymous,2024,arXiv/ACM 2024,String D
21,Seed&Steer: Guiding LLMs with Compilable Prefix and Branch Signals for Unit Test Generation,Seed&Steer combines EvoSuite seeds with LLM. 73% branch coverage across Java focal methods varying complexity. Compilation rate improved 7%. Five real-world Java projects.,Anonymous,2025,arXiv 2025,String E
22,Software Testing with Large Language Models: Survey Landscape and Vision,Survey of LLMs for software testing including unit test generation. Covers branch coverage mutation score trends. IEEE TSE 2024. Secondary study — survey paper.,Wang S. et al.,2024,IEEE TSE 2024,String B
